repeat,fold,inchikey,Molecule_Name,chemeleon__lightgbm,chemeleon__rf,chemeleon__xgboost,chemprop_chemeleoninit,chemprop_randominit,ecfp4_narrow__lightgbm,ecfp4_narrow__rf,ecfp4_narrow__xgboost,mordred_pca__lightgbm,mordred_pca__rf,mordred_pca__xgboost,y_true,conf_low,conf_high
0,0,QZAYGJVTTNCVMB-UHFFFAOYSA-N,OCNT-0021943,5.235615311504176,5.459995520510001,4.626265,5.523363,5.213477,5.009263899123659,5.154186976630001,4.972925,5.156733422089996,5.166014126289998,5.1623983,5.053625558,4.9507345,5.14111975
0,0,ZUXABONWMNSFBN-UHFFFAOYSA-N,OCNT-0022129,3.8276082104377545,4.159880443799997,4.287483,3.6315522,4.874533,4.828512419439131,4.2346465992999995,3.6261172,4.285814432596457,3.9551521264399967,4.6593904,3.86440727,3.398772,4.4576375
0,0,KLBQZWRITKRQQV-UHFFFAOYSA-N,OCNT-0022141,5.111277311347605,4.959018950080003,5.444323,5.5623436,5.616082,4.94946510300145,4.918711372260001,5.075552,5.235667024228472,5.01123151739,5.226286,4.99798696,4.8811085,5.1165775
0,0,ZEWQUBUPAILYHI-UHFFFAOYSA-N,OCNT-0022246,5.1224415401518035,5.024926092709999,5.3793783,5.0393963,5.081559,4.8268792377390435,4.806454620779996,5.1144,5.0000571601094395,5.045098785710001,5.144913,5.40455451,5.2970825,5.51208
0,0,PWWVAXIEGOYWEE-UHFFFAOYSA-N,OCNT-0022266,5.172819265043603,5.080867871980002,5.245438,5.302634,5.2105875,5.214729493730668,5.21274132502,5.2026854,5.177251988654049,4.7942023974599985,5.2157593,5.019858453,4.844403,5.19839425
0,0,WIKYUJGCLQQFNW-UHFFFAOYSA-N,OCNT-0022268,5.023110244747891,4.73023940315,4.7457824,4.950659,4.783122,5.02877895838182,4.947441358839998,5.075552,5.044602484698648,4.791525320819999,4.98246,5.477508187,5.407097,5.550604
0,0,VCKUSRYTPJJLNI-UHFFFAOYSA-N,OCNT-0022316,3.7738817124628343,3.914483672390001,3.7727258,4.3015556,5.0680475,3.848071939132905,3.90513105218,4.8759346,4.444056676895654,4.344208478969999,4.847542,2.131196685,1.05390125,3.25483875
0,0,FBOZXECLQNJBKD-ZDUSSCGKSA-N,OCNT-0200796,3.606774726945699,4.036624590089999,4.394636,2.9461737,3.694353,3.504635358210309,3.4479075760299995,3.927019,3.942353007691061,4.26769365846,4.2599044,2.132871568,1.05391675,3.24998725
0,0,KKZJGLLVHKMTCM-UHFFFAOYSA-N,OCNT-0493951,3.862963347587863,4.272846905570001,4.933575,4.357222,4.795461,3.61655269956986,3.763040963310002,4.091947,4.502686112598346,4.39286034539,4.2181034,5.353338098,5.1009275,5.58642375
0,0,WHTVZRBIWZFKQO-UHFFFAOYSA-N,OCNT-0495303,5.409162564317968,5.197640056299999,5.50843,4.695625,4.629211,5.144077426596013,5.291086481660001,5.2026854,5.2877803207787935,4.7662690466400015,4.426032,2.099860792,1.05781625,3.472813
0,0,WSPOMRSOLSGNFJ-AUWJEWJLSA-N,OCNT-0497954,4.884922459990889,5.211809801820001,5.381491,5.5230703,5.773056,4.932648787888029,5.077841923540003,5.1218305,5.052642823693861,5.001131762799998,5.17759,5.046060555,4.926879,5.15313375
0,0,VKQFCGNPDRICFG-UHFFFAOYSA-N,OCNT-0498090,4.844219489269294,4.631074769559999,4.53837,4.9322615,5.9327726,4.71443915469628,4.467902894449998,4.7163982,4.366063707189852,4.152204277219999,4.3866086,6.540418253,6.432415,6.647213
0,0,RQGVCACJTCSQTN-UHFFFAOYSA-N,OCNT-2308470,5.3342758090850415,5.20893263292,5.4536653,5.7590065,5.6131563,5.505897191026915,5.323499584010002,5.2026854,5.350471109696059,4.932545500130002,5.0501404,5.107489447,4.972475,5.2167005
0,0,RMOQOPSUZCJLMR-UHFFFAOYSA-N,OCNT-2308474,5.232911456221084,5.743322582419999,5.424785,5.5127068,6.0307117,5.10909564264309,5.384490823390001,5.0239496,5.253541732243498,5.136907915079998,5.2398033,6.01210488,5.90614975,6.1220405
0,0,KBIFFZFLJCHRSB-UHFFFAOYSA-N,OCNT-2308529,4.564845958817978,4.687160000600001,4.589255,4.264022,4.4577208,4.766969605284981,4.702123470800002,5.135483,4.417271413301116,4.86705466045,4.993358,5.021356355,4.8814065,5.11244725
0,0,PVLYROGYOCQWRM-UHFFFAOYSA-N,OCNT-2308553,4.845014322348187,4.31205587259,4.703315,4.6850743,4.755392,5.33810015118244,5.087134066750001,5.1344333,4.937442044484694,4.893959540920003,5.1747217,5.15728653,5.04877525,5.247212
